entry_id,contest_id,contest_name,entry_fee,PG,PG,SG,SG,SF,SF,PF,PF,C,"","Instructions"
"3645165323","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-145328:Saddiq Bey,125182-145328,SF/PF,Saddiq,Saddiq Bey,Bey,27.935293758616726,34,6200,NO@MIA,NO,MIA,O,Hip,,,,SF/PF
"3645165325","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84681:Donte DiVincenzo,125182-84681,SG/PG,Donte,Donte DiVincenzo,DiVincenzo,28.659999302455358,35,6200,MIN@WAS,MIN,WAS,,,,,,PG/SG
"3645165326","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203722:Kyshawn George,125182-203722,SF/SG,Kyshawn,Kyshawn George,George,32.0407398365162,27,6200,MIN@WAS,WAS,MIN,O,Hip,,,,SG/SF
"3645165328","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-60233:Dillon Brooks,125182-60233,SF/SG,Dillon,Dillon Brooks,Brooks,29.721429007393972,28,6100,OKC@PHO,PHO,OKC,,,,,,SG/SF
"3645165330","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-19067:CJ McCollum,125182-19067,SG/PG,CJ,CJ McCollum,McCollum,29.40909090909091,33,6100,MIN@WAS,WAS,MIN,,,,,,PG/SG
"3645165331","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-145319:Jaden McDaniels,125182-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,27.98787804805871,33,6100,MIN@WAS,MIN,WAS,,,,,,SF/PF
"3645165332","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171786:Mark Williams,125182-171786,C,Mark,Mark Williams,Williams,29.724137931034484,29,6000,OKC@PHO,PHO,OKC,,,,,,C
"3645165333","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-80825:Isaiah Hartenstein,125182-80825,C,Isaiah,Isaiah Hartenstein,Hartenstein,31.6374994913737,24,6000,OKC@PHO,OKC,PHO,O,Calf,,,,C
"3645165334","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110322:Jordan Poole,125182-110322,PG/SG,Jordan,Jordan Poole,Poole,26.123529770795038,17,6000,NO@MIA,NO,MIA,,,,,,PG/SG
"3645165335","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-40783:Zach LaVine,125182-40783,SF/SG,Zach,Zach LaVine,LaVine,27.68695599099864,23,5800,MIL@SAC,SAC,MIL,,,,,,SG/SF
"3645165336","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-42156:Bobby Portis,125182-42156,PF/C,Bobby,Bobby Portis,Portis,24.06857212611607,35,5800,MIL@SAC,MIL,SAC,,,,,,PF/C
"3645165337","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84711:Grayson Allen,125182-84711,SG/SF,Grayson,Grayson Allen,Allen,29.711110432942707,18,5800,OKC@PHO,PHO,OKC,Q,Knee,,,,SG/SF
"3645165338","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-188416:Bilal Coulibaly,125182-188416,SF/PF,Bilal,Bilal Coulibaly,Coulibaly,25.584210847553454,19,5700,MIN@WAS,WAS,MIN,,,,,,SF/PF
"3645165339","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228127:Cedric Coward,125182-228127,SG/SF,Cedric,Cedric Coward,Coward,27.015151515151516,33,5700,MEM@LAL,MEM,LAL,,,,,,SG/SF
"3645165340","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-58253:Myles Turner,125182-58253,C,Myles,Myles Turner,Turner,27.514285714285716,35,5700,MIL@SAC,MIL,SAC,,,,,,C
"3645165341","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84673:Deandre Ayton,125182-84673,C,Deandre,Deandre Ayton,Ayton,29.103572300502233,28,5700,MEM@LAL,LAL,MEM,,,,,,C
"3645165345","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203808:Ajay Mitchell,125182-203808,PG/SG,Ajay,Ajay Mitchell,Mitchell,27.545454545454547,33,5600,OKC@PHO,OKC,PHO,,,,,,PG/SG
"3645165346","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157812:Davion Mitchell,125182-157812,PG,Davion,Davion Mitchell,Mitchell,25.906061345880683,33,5600,NO@MIA,MIA,NO,,,,,,PG
"3645165347","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228131:Jeremiah Fears,125182-228131,PG/SG,Jeremiah,Jeremiah Fears,Fears,25.113888210720486,36,5500,NO@MIA,NO,MIA,,,,,,PG/SG
"3645165348","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228166:Maxime Raynaud,125182-228166,C,Maxime,Maxime Raynaud,Raynaud,21.685185185185187,27,5500,MIL@SAC,SAC,MIL,,,,,,C
"3645165349","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-67708:Dejounte Murray,125182-67708,PG/SG,Dejounte,Dejounte Murray,Murray,40.096774193548384,31,5500,NO@MIA,NO,MIA,O,Achilles,,,,PG/SG
"3645165350","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-40201:Dennis Schroder,125182-40201,PG/SG,Dennis,Dennis Schroder,Schroder,26.517857142857142,28,5300,MIL@SAC,SAC,MIL,,,,,,PG/SG
"3645165351","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-18338:Royce O'Neale,125182-18338,SF/PF,Royce,Royce O'Neale,O'Neale,23.517646340762866,34,5300,OKC@PHO,PHO,OKC,,,,,,SF/PF
"3645165354","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171757:Jake LaRavia,125182-171757,PF/SF,Jake,Jake LaRavia,LaRavia,21.512500762939453,32,5300,MEM@LAL,LAL,MEM,,,,,,SF/PF
"3645165355","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157907:Jalen Green,125182-157907,SG/PG,Jalen,Jalen Green,Green,22.899999618530273,2,5100,OKC@PHO,PHO,OKC,O,Hamstring,,,,PG/SG
"3645165356","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203734:Zach Edey,125182-203734,C,Zach,Zach Edey,Edey,33.8545448996804,11,5100,MEM@LAL,MEM,LAL,O,Ankle,,,,C
"3645165357","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-58377:Kyle Kuzma,125182-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,24.269697709517047,33,5000,MIL@SAC,MIL,SAC,,,,,,SF/PF
"3645165358","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-158855:Justin Champagnie,125182-158855,SF/PF,Justin,Justin Champagnie,Champagnie,17.64516129032258,31,5000,MIN@WAS,WAS,MIN,,,,,,SF/PF
"3645165359","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-84679:Marvin Bagley,125182-84679,C,Marvin,Marvin Bagley,Bagley,22.03214372907366,28,5000,MIN@WAS,WAS,MIN,,,,,,C
"3645165360","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171792:Nikola Jovic,125182-171792,PF,Nikola,Nikola Jovic,Jovic,18.879166920979817,24,4800,NO@MIA,MIA,NO,,,,,,PF
"3645165362","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-23670:Marcus Smart,125182-23670,SG/SF,Marcus,Marcus Smart,Smart,21.41304347826087,23,4800,MEM@LAL,LAL,MEM,,,,,,SG/SF
"3645165363","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203721:Bub Carrington,125182-203721,PG,Bub,Bub Carrington,Carrington,20.251514781605113,33,4800,MIN@WAS,WAS,MIN,,,,,,PG
"3645165365","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203777:Cam Spencer,125182-203777,SG/PG,Cam,Cam Spencer,Spencer,23.00909053918087,33,4700,MEM@LAL,MEM,LAL,,,,,,PG/SG
"3645165366","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-160174:Jordan Goodwin,125182-160174,SG,Jordan,Jordan Goodwin,Goodwin,21.125807239163308,31,4700,OKC@PHO,PHO,OKC,,,,,,SG
"3645165368","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228118:Tre Johnson,125182-228118,SG/PG,Tre,Tre Johnson,Johnson,19.43076970027043,26,4600,MIN@WAS,WAS,MIN,,,,,,PG/SG
"3645165371","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203780:Oso Ighodaro,125182-203780,PF/C,Oso,Oso Ighodaro,Ighodaro,16.25,34,4500,OKC@PHO,PHO,OKC,,,,,,PF/C
"3645165373","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157848:Herbert Jones,125182-157848,SF/PF,Herbert,Herbert Jones,Jones,22.418182373046875,22,4500,NO@MIA,NO,MIA,O,Ankle,,,,SF/PF
"3645165376","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203776:Jaylen Wells,125182-203776,SG/SF,Jaylen,Jaylen Wells,Wells,21.388235653147976,34,4400,MEM@LAL,MEM,LAL,,,,,,SG/SF
"3645165379","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110349:Rui Hachimura,125182-110349,SF/PF,Rui,Rui Hachimura,Hachimura,20.14444534866898,27,4400,MEM@LAL,LAL,MEM,O,Calf,,,,SF/PF
"3645165382","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203729:Yves Missi,125182-203729,C,Yves,Yves Missi,Missi,16.928571428571427,28,4300,NO@MIA,NO,MIA,,,,,,C
"3645165383","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-188415:Cason Wallace,125182-188415,SG/PG,Cason,Cason Wallace,Wallace,21.294117647058822,34,4300,OKC@PHO,OKC,PHO,Q,Knee,,,,PG/SG
"3645165386","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-161553:Dru Smith,125182-161553,SG,Dru,Dru Smith,Smith,18.291428920200893,35,4200,NO@MIA,MIA,NO,,,,,,SG
"3645165389","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171669:Keon Ellis,125182-171669,SG/SF,Keon,Keon Ellis,Ellis,13.090909090909092,33,4200,MIL@SAC,SAC,MIL,,,,,,SG/SF
"3645165392","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-111273:Luguentz Dort,125182-111273,SF/SG,Luguentz,Luguentz Dort,Dort,17.5,26,4200,OKC@PHO,OKC,PHO,,,,,,SG/SF
"3645165393","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-158137:Jock Landale,125182-158137,C,Jock,Jock Landale,Landale,22.225000381469727,32,4200,MEM@LAL,MEM,LAL,,,,,,C
"3645165395","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203802:Pelle Larsson,125182-203802,SG,Pelle,Pelle Larsson,Larsson,18.607407181351274,27,4100,NO@MIA,MIA,NO,,,,,,SG
"3645165396","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-16261:Khris Middleton,125182-16261,SG/SF,Khris,Khris Middleton,Middleton,21.37727217240767,22,4100,MIN@WAS,WAS,MIN,,,,,,SG/SF
"3645165397","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-158373:Jose Alvarado,125182-158373,PG,Jose,Jose Alvarado,Alvarado,18.15454471472538,33,4100,NO@MIA,NO,MIA,,,,,,PG
"3645165398","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110331:Ty Jerome,125182-110331,PG/SG,Ty,Ty Jerome,Jerome,22.5126582278481,79,4100,MEM@LAL,MEM,LAL,O,Calf,,,,PG/SG
"3645165399","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-110340:Jaxson Hayes,125182-110340,C,Jaxson,Jaxson Hayes,Hayes,15.074074074074074,27,4000,MEM@LAL,LAL,MEM,,,,,,C
"3645165400","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171785:Bryce McGowens,125182-171785,SG,Bryce,Bryce McGowens,McGowens,14.254545731977982,22,4000,NO@MIA,NO,MIA,,,,,,SG
"3645165401","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-15636:Kentavious Caldwell-Pope,125182-15636,SG/SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,18.084848114938445,33,4000,MEM@LAL,MEM,LAL,,,,,,SG/SF
"3645165402","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-203800:Branden Carlson,125182-203800,C,Branden,Branden Carlson,Carlson,11.29199951171875,25,4000,OKC@PHO,OKC,PHO,,,,,,C
"3645165403","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-228124:Nique Clifford,125182-228124,SG/SF,Nique,Nique Clifford,Clifford,12.700000393775202,31,4000,MIL@SAC,SAC,MIL,,,,,,SG/SF
"3645165404","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157829:Aaron Wiggins,125182-157829,SF/PF,Aaron,Aaron Wiggins,Wiggins,18.545454545454547,22,4000,OKC@PHO,OKC,PHO,,,,,,SF/PF
"3645165407","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-157834:Bones Hyland,125182-157834,PG,Bones,Bones Hyland,Hyland,12.569230299729567,26,4000,MIN@WAS,MIN,WAS,,,,,,PG
"3645165408","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171661:Scotty Pippen,125182-171661,PG/SG,Scotty,Scotty Pippen,Pippen,23.983529124540443,85,4000,MEM@LAL,MEM,LAL,O,Toe,,,,PG/SG
"3645165410","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171672:AJ Green,125182-171672,SG,AJ,AJ Green,Green,18.081249237060547,32,4000,MIL@SAC,MIL,SAC,,,,,,SG
"3645165412","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-58576:Kevon Looney,125182-58576,C,Kevon,Kevon Looney,Looney,13.540000406901042,15,4000,NO@MIA,NO,MIA,,,,,,C
"3645165415","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-188444:GG Jackson,125182-188444,PF/SF,GG,GG Jackson,Jackson,12.435714721679688,14,3900,MEM@LAL,MEM,LAL,,,,,,SF/PF
"3645165416","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-9575:Mike Conley,125182-9575,PG,Mike,Mike Conley,Conley,13.77000020345052,30,3900,MIN@WAS,MIN,WAS,,,,,,PG
"3645165417","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-171679:Jamaree Bouyea,125182-171679,PG,Jamaree,Jamaree Bouyea,Bouyea,15.966666327582466,18,3900,OKC@PHO,PHO,OKC,,,,,,PG
"3645165418","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-145314:Precious Achiuwa,125182-145314,PF/C,Precious,Precious Achiuwa,Achiuwa,18.521427699497767,28,3900,MIL@SAC,SAC,MIL,,,,,,PF/C
"3645165419","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-23981:Alex Caruso,125182-23981,SF/SG,Alex,Alex Caruso,Caruso,17.58,25,3900,OKC@PHO,OKC,PHO,,,,,,SG/SF
"3645165421","125182-278589570","$2K Sun NBA Piggy Bank Shot (150 Entries Max)","0.05","","","","","","","","","","",125182-145330:Isaiah Joe,125182-145330,SF/SG,Isaiah,Isaiah Joe,Joe,17.40769254244291,26,3900,OKC@PHO,OKC,PHO,Q,Knee,,,,SG/SF
