Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125062-203733,PG,Devin,Devin Carter,Carter,8.70999984741211,10,3600,BOS@SAC,SAC,BOS,,,,,,PG
125062-171778,SF,Wendell,Wendell Moore,Moore,7.766666412353516,3,3500,MIA@DET,DET,MIA,Q,Hamstring,,,,SF
125062-203783,PF,Tyler,Tyler Smith,Smith,5.043478260869565,23,3500,HOU@BKN,HOU,BKN,,,,,,PF
125062-171783,PF,E.J.,E.J. Liddell,Liddell,3.5428570338657925,7,3500,HOU@BKN,BKN,HOU,,,,,,PF
125062-213259,PF,Tolu,Tolu Smith,Smith,19.100000381469727,2,3500,MIA@DET,DET,MIA,,,,,,PF
125062-203785,PF,Isaac,Isaac Jones,Jones,2.2249999046325684,4,3500,MIA@DET,DET,MIA,Q,Knee,,,,PF
125062-188425,C,Dereck,Dereck Lively,Lively,18.41428484235491,7,3500,PHI@DAL,DAL,PHI,O,Foot,,,,C
125062-203784,SF,Isaiah,Isaiah Crawford,Crawford,0,2,3500,HOU@BKN,HOU,BKN,,,,,,SF
125062-55055,PG,Dante,Dante Exum,Exum,16.027273004705254,22,3500,PHI@DAL,DAL,PHI,O,Knee,,,,PG
125062-55056,C,Dario,Dario Saric,Saric,2.6399999618530274,5,3500,BOS@SAC,SAC,BOS,,,,,,C
125062-171802,SG,MarJon,MarJon Beauchamp,Beauchamp,4.237142944335938,35,3500,PHI@DAL,PHI,DAL,,,,,,SG
125062-203813,PF,Bobi,Bobi Klintman,Klintman,7.200000127156575,6,3500,MIA@DET,DET,MIA,,,,,,PF
125062-231474,SF,Myron,Myron Gardner,Gardner,3.325000047683716,8,3500,MIA@DET,MIA,DET,,,,,,SF
125062-228145,SG,Chaz,Chaz Lanier,Lanier,6.271428789411273,14,3500,MIA@DET,DET,MIA,,,,,,SG
125062-228154,PG,Max,Max Shulga,Shulga,,0,3500,BOS@SAC,BOS,SAC,,,,,,PG
125062-179512,SF,Daeqwon,Daeqwon Plowden,Plowden,4.400000095367432,1,3500,BOS@SAC,SAC,BOS,,,,,,SF
125062-228153,C,Amari,Amari Williams,Williams,3.6499999364217124,6,3500,BOS@SAC,BOS,SAC,,,,,,C
125062-9535,PG,Kyle,Kyle Lowry,Lowry,4.220000076293945,5,3500,PHI@DAL,PHI,DAL,,,,,,PG
125062-172097,PG,Tyson,Tyson Etienne,Etienne,1.5625,8,3500,HOU@BKN,BKN,HOU,,,,,,PG
125062-228171,PF,Johni,Johni Broome,Broome,5.085714067731585,7,3500,PHI@DAL,PHI,DAL,,,,,,PF
125062-228175,C,Vladislav,Vladislav Goldin,Goldin,1.5,1,3500,MIA@DET,MIA,DET,,,,,,C
125062-228176,PG,Miles,Miles Kelly,Kelly,2.9000000953674316,2,3500,PHI@DAL,DAL,PHI,,,,,,PG
125062-9556,SG,Eric,Eric Gordon,Gordon,8.65000025431315,6,3500,PHI@DAL,PHI,DAL,,,,,,SG
125062-233066,SF,Chaney,Chaney Johnson,Johnson,,0,3500,HOU@BKN,BKN,HOU,,,,,,SF
125062-68203,C,Chris,Chris Boucher,Boucher,9.887499809265137,8,3500,BOS@SAC,BOS,SAC,Q,Personal,,,,C
125062-102025,SF,Haywood,Haywood Highsmith,Highsmith,16.439999389648438,80,3500,HOU@BKN,BKN,HOU,O,Knee,,,,SF
125062-171660,SF,Ron,Ron Harper,Harper,6.650000095367432,4,3500,BOS@SAC,BOS,SAC,,,,,,SF
125062-213394,PG,Isaiah,Isaiah Stevens,Stevens,1.8000000317891438,3,3500,BOS@SAC,SAC,BOS,,,,,,PG
125062-14498,PG,Kyrie,Kyrie Irving,Irving,40.49,50,3500,PHI@DAL,DAL,PHI,O,Knee,,,,PG
125062-80808,PF/SF,Jayson,Jayson Tatum,Tatum,48.775,80,3500,BOS@SAC,BOS,SAC,O,Achilles,,,,SF/PF
125062-9648,SF,Jeff,Jeff Green,Green,2.942857197352818,14,3500,HOU@BKN,HOU,BKN,,,,,,SF
125062-24247,PG,Fred,Fred VanVleet,VanVleet,31.417910447761194,67,3500,HOU@BKN,HOU,BKN,O,Knee,,,,PG
125062-213178,PG,Jahmir,Jahmir Young,Young,3.8799999237060545,5,3500,MIA@DET,MIA,DET,,,,,,PG
125062-145336,C,Xavier,Xavier Tillman,Tillman,7.936363913796165,11,3500,BOS@SAC,BOS,SAC,,,,,,C
125062-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,39.04545454545455,11,3500,BOS@SAC,SAC,BOS,O,Knee,,,,PF/C
125062-171762,PG,JD,JD Davison,Davison,4.333333333333333,15,3500,HOU@BKN,HOU,BKN,,,,,,PG
125062-16376,PF/SF,Dorian,Dorian Finney-Smith,Finney-Smith,7.666666666666667,3,3500,HOU@BKN,HOU,BKN,,,,,,SF/PF
