Lineup #,SelScore,HitCount,Salary,ProjSum,MaxSimPts,Players,FD_IDs
27,1.7523,1,59400,311.22,546.22,Jaden Ivey (DET) | Ajay Mitchell (OKC) | Stephon Castle (SAS) | Ausar Thompson (DET) | Jaylen Brown (BOS) | Marcus Smart (LAL) | Alex Sarr (WAS) | Chet Holmgren (OKC) | Mark Williams (PHX),"125339-171780,125339-203808,125339-203723,125339-188426,125339-67026,125339-23670,125339-203764,125339-171759,125339-171786"
28,1.7516,1,59300,302.09,557.02,De'Aaron Fox (SAS) | Jamal Shead (TOR) | Anthony Black (ORL) | Caris LeVert (DET) | Scottie Barnes (TOR) | Michael Porter Jr. (BKN) | Paul George (PHI) | Kristaps Porzingis (ATL) | Paul Reed (DET),"125339-80810,125339-203798,125339-188408,125339-23798,125339-157822,125339-84682,125339-12341,125339-63122,125339-145329"
29,1.7515,1,59800,294.45,566.66,Jeremiah Fears (NOP) | Kevin Porter Jr. (MIL) | Desmond Bane (ORL) | Kon Knueppel (CHA) | Bilal Coulibaly (WAS) | Matas Buzelis (CHI) | Alex Sarr (WAS) | Miles Bridges (CHA) | Jarred Vanderbilt (LAL),"125339-228131,125339-110345,125339-145334,125339-228135,125339-188416,125339-203761,125339-203764,125339-84678,125339-84721"
30,1.7513,1,59800,308.4,548.48,Keyonte George (UTA) | Luka Doncic (LAL) | Ausar Thompson (DET) | Cason Wallace (OKC) | Justin Champagnie (WAS) | Julian Champagnie (SAS) | Matas Buzelis (CHI) | Brandon Ingram (TOR) | Robert Williams (POR),"125339-188412,125339-84669,125339-188426,125339-188415,125339-158855,125339-172098,125339-203761,125339-66048,125339-84708"
31,1.7496,1,59800,309.89,544.45,Luka Doncic (LAL) | Jaden Ivey (DET) | Reed Sheppard (HOU) | Caris LeVert (DET) | Bilal Coulibaly (WAS) | Paolo Banchero (ORL) | Lauri Markkanen (UTA) | Jake LaRavia (LAL) | Goga Bitadze (ORL),"125339-84669,125339-171780,125339-203713,125339-23798,125339-188416,125339-171770,125339-80812,125339-171757,125339-110359"
32,1.7484,1,60000,307.74,545.76,Stephon Castle (SAS) | Reed Sheppard (HOU) | RJ Barrett (TOR) | Payton Pritchard (BOS) | Ausar Thompson (DET) | Paul George (PHI) | Zion Williamson (NOP) | Santi Aldama (MEM) | Paul Reed (DET),"125339-203723,125339-203713,125339-110357,125339-145335,125339-188426,125339-12341,125339-110310,125339-157844,125339-145329"
33,1.7482,1,59000,308.29,544.72,Tre Jones (CHI) | Tyrese Maxey (PHI) | Jaden Ivey (DET) | Ajay Mitchell (OKC) | Keldon Johnson (SAS) | Lauri Markkanen (UTA) | Isaiah Stewart (DET) | Alex Sarr (WAS) | Collin Murray-Boyles (TOR),"125339-145323,125339-145331,125339-171780,125339-203808,125339-110347,125339-80812,125339-145307,125339-203764,125339-228122"
34,1.748,1,59600,302.02,552.54,Luka Doncic (LAL) | Cason Wallace (OKC) | Caris LeVert (DET) | Reed Sheppard (HOU) | VJ Edgecombe (PHI) | Justin Champagnie (WAS) | Keldon Johnson (SAS) | Kawhi Leonard (LAC) | Sandro Mamukelashvili (TOR),"125339-84669,125339-188415,125339-23798,125339-203713,125339-228133,125339-158855,125339-110347,125339-14513,125339-157846"
35,1.7457,1,59300,306.74,543.6,Ajay Mitchell (OKC) | Tre Johnson (WAS) | Collin Sexton (CHA) | Luguentz Dort (OKC) | Lauri Markkanen (UTA) | Scottie Barnes (TOR) | Jalen Johnson (ATL) | Derik Queen (NOP) | Brook Lopez (LAC),"125339-203808,125339-228118,125339-84667,125339-111273,125339-80812,125339-157822,125339-157833,125339-228132,125339-9621"
37,1.7434,1,60000,301.35,547.62,Ajay Mitchell (OKC) | Jordan Poole (NOP) | Tre Jones (CHI) | Jase Richardson (ORL) | Kevin Huerter (CHI) | Lauri Markkanen (UTA) | Jalen Johnson (ATL) | Justin Champagnie (WAS) | Karl-Anthony Towns (NYK),"125339-203808,125339-110322,125339-145323,125339-228128,125339-84704,125339-80812,125339-157833,125339-158855,125339-58462"
