player,team,gameInfo,game_abbr,salary,minutes,total,spread_home,game_date,points_Minutes,points_P/M,points_Possessions,points_Pts,points_FG2M,points_FG2A,points_2pt FG%,points_FG3M,points_FG3A,points_3pt FG%,points_Non-Heave 3pt FG%,points_FT Pts,points_AST2 Pts,points_UAST2 2s Pts,points_AST3 Pts,points_UAST3 Pts,points_2pt AST%,points_Non Putback 2pt AST%,points_3pt AST%,points_3PAr,points_Shot Quality,points_eFG%,points_TS%,points_PUT,points_FG2AB,points_% of FG2AB,points_FG3AB,points_% of FG3AB,points_Usage,assists_Minutes,assists_Assists,assists_Assist Pts,assists_2pt,assists_3pt,assists_At Rim,assists_SMR,assists_LMR,assists_C3,assists_AB3,rebounds_Minutes,rebounds_Reb,rebounds_DReb,rebounds_FT DReb,rebounds_FT DReb%,rebounds_2Pt DReb,rebounds_2Pt DReb%,rebounds_3Pt DReb,rebounds_3Pt DReb%,rebounds_FG DReb%,rebounds_OReb,rebounds_FT OReb,rebounds_FT OReb%,rebounds_2Pt OReb,rebounds_2Pt OReb%,rebounds_3Pt OReb,rebounds_3Pt OReb%,rebounds_FG OReb%,rebounds_Rim DReb%,rebounds_SMR DReb%,rebounds_LMR DReb%,rebounds_AB3 DReb%,rebounds_C3 DReb%,rebounds_Rim OReb%,rebounds_SMR OReb%,rebounds_LMR OReb%,rebounds_AB3 OReb%,rebounds_C3 OReb%,rebounds_Z-Bounds,rebounds_Z-Bound Pct,turnovers_Minutes,turnovers_TOs,turnovers_Live Ball TOs,turnovers_Dead Ball TOs,turnovers_Live Ball TO%,turnovers_Lost Ball,turnovers_Lost Ball Out of Bounds,turnovers_Bad Pass,turnovers_Bad Pass Out of Bounds,turnovers_Travels,turnovers_3 Second Violation,turnovers_Step Out of Bounds,turnovers_Offensive Goaltending,stocks_Minutes,stocks_Blocks,stocks_2pt Blocks,stocks_3pt Blocks,stocks_Rim Blocks,stocks_SMR Blocks,stocks_LMR Blocks,stocks_C3 Blocks,stocks_AB3 Blocks,stocks_BLK REC,stocks_BLK REC%,stocks_Steals,stocks_Lost Ball Steals,stocks_Bad Pass Steals,stocks_Goaltending Violations
Jay Huff,Indiana Pacers,IND @ CHA,IND @ CHA,4500.0,7.03,232.5,-4.5,2026-01-09,183.0,-8.87,398.0,15.83,2.76,3.27,84.62,2.51,9.8,25.64,25.64,2.76,4.02,1.51,7.54,0.0,72.73,88.89,100.0,75.0,0.57,50.0,54.31,1.01,0.25,7.69,0.0,0.0,13.87,183.0,3.02,6.78,2.26,0.75,0.75,0.75,0.75,0.25,0.5,183.0,3.74,5.45,0.74,30.0,2.23,8.91,2.48,11.11,9.95,2.01,0.0,0.0,1.51,6.52,0.5,1.83,3.98,2.56,16.28,5.26,10.0,15.0,11.76,0.0,14.29,2.22,0.0,0.0,0.0,183.0,1.26,0.5,0.75,40.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,183.0,5.45,5.2,0.25,2.48,2.72,0.0,0.0,0.25,3.22,59.09,0.25,0.0,1.0,0.0
Mac McClung,Indiana Pacers,IND @ CHA,IND @ CHA,,2.91,232.5,-4.5,2026-01-09,16.0,-20.0,35.0,28.57,2.86,5.71,50.0,5.71,17.14,33.33,33.33,5.71,5.71,0.0,8.57,8.57,100.0,100.0,50.0,75.0,0.52,50.0,55.56,0.0,2.86,50.0,0.0,0.0,20.83,16.0,2.86,5.71,2.86,0.0,0.0,0.0,2.86,0.0,0.0,16.0,2.86,5.71,0.0,0.0,0.0,0.0,5.71,50.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.86,2.86,0.0,100.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,16.0,2.86,2.86,0.0,0.0,2.86,0.0,0.0,0.0,2.86,100.0,5.71,1.0,1.0,0.0
Micah Potter,Indiana Pacers,IND @ CHA,IND @ CHA,4000.0,5.99,232.5,-4.5,2026-01-09,38.0,11.31,82.0,24.39,1.22,1.22,100.0,2.44,6.1,40.0,40.0,14.63,2.44,0.0,7.32,0.0,100.0,100.0,100.0,83.33,0.55,66.67,83.33,0.0,0.0,0.0,0.0,0.0,14.77,38.0,7.32,17.07,4.88,2.44,3.66,1.22,0.0,0.0,2.44,38.0,4.12,6.82,2.27,66.67,2.27,13.33,2.27,11.76,12.5,1.22,1.22,100.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.22,1.22,0.0,100.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,0.0,38.0,1.14,1.14,0.0,1.14,0.0,0.0,0.0,0.0,1.14,100.0,0.0,0.0,0.0,0.0
Bennedict Mathurin,Indiana Pacers,IND @ CHA,IND @ CHA,5000.0,0.0,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Nembhard,Indiana Pacers,IND @ CHA,IND @ CHA,7100.0,34.0,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa Diabate,Charlotte Hornets,IND @ CHA,IND @ CHA,6100.0,30.0,232.5,-4.5,2026-01-09,752.0,2.79,1510.0,16.42,6.16,9.87,62.42,0.0,0.0,0.0,0.0,4.11,8.08,4.24,0.0,0.0,65.59,85.92,0.0,0.0,0.61,62.42,64.25,2.91,0.6,6.04,0.0,0.0,11.96,752.0,3.11,8.15,1.19,1.92,0.6,0.33,0.26,0.53,1.39,752.0,8.6,9.31,0.65,27.03,4.82,20.56,3.84,18.21,19.44,7.88,0.07,3.33,4.97,20.72,2.85,11.59,16.1,15.13,23.45,26.98,18.7,16.13,25.64,15.88,22.22,10.95,13.64,10.0,23.26,752.0,1.72,0.53,1.19,30.77,0.13,0.07,0.4,0.07,0.33,0.0,0.07,0.0,752.0,1.89,1.89,0.0,1.3,0.59,0.0,0.0,0.0,1.17,62.07,1.76,6.0,21.0,0.2
Quenton Jackson,Indiana Pacers,IND @ CHA,IND @ CHA,3600.0,4.28,232.5,-4.5,2026-01-09,61.0,-3.44,132.0,25.76,6.06,9.85,61.54,1.52,4.55,33.33,33.33,9.09,3.03,9.09,4.55,0.0,25.0,28.57,100.0,31.58,0.56,57.89,62.96,1.52,0.76,7.69,0.0,0.0,21.05,61.0,4.55,12.12,1.52,3.03,1.52,0.0,0.0,0.76,2.27,61.0,2.57,3.57,0.0,0.0,2.14,11.11,1.43,6.25,8.47,1.52,0.0,0.0,1.52,8.0,0.0,0.0,3.39,15.38,9.09,0.0,10.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,0.0,61.0,3.79,3.03,0.76,80.0,1.52,0.0,1.52,0.76,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.0,2.0,0.0
Brandon Miller,Charlotte Hornets,IND @ CHA,IND @ CHA,7300.0,32.0,232.5,-4.5,2026-01-09,393.0,7.27,804.0,34.45,6.97,14.68,47.46,4.98,12.81,38.83,38.83,5.6,5.97,7.96,12.69,2.24,42.86,44.44,85.0,46.61,0.5,52.49,57.23,0.5,0.62,4.24,0.0,0.0,29.18,393.0,4.85,12.19,2.36,2.49,1.74,0.62,0.0,0.62,1.87,393.0,3.58,5.15,0.12,5.88,2.09,8.85,2.94,12.24,10.57,1.99,0.25,12.5,0.75,3.14,1.0,4.17,3.66,7.06,9.09,13.33,12.82,10.0,4.84,2.91,0.0,4.7,2.33,7.0,6.31,393.0,4.23,2.49,1.74,58.82,1.12,0.25,1.37,0.5,0.0,0.0,0.0,0.12,393.0,1.35,1.35,0.0,0.86,0.49,0.0,0.0,0.0,0.49,36.36,1.1,2.0,7.0,0.25
Jarace Walker,Indiana Pacers,IND @ CHA,IND @ CHA,3800.0,20.0,232.5,-4.5,2026-01-09,246.0,-11.71,525.0,21.71,3.05,8.38,36.36,4.19,12.38,33.85,33.85,3.05,3.81,2.29,11.43,1.14,62.5,71.43,90.91,59.63,0.52,44.95,48.29,0.76,0.95,11.36,0.0,0.0,22.09,246.0,4.95,12.38,2.48,2.48,2.1,0.19,0.19,0.57,1.9,246.0,4.31,7.93,0.55,27.27,2.77,12.4,4.61,20.66,16.53,0.57,0.19,4.76,0.0,0.0,0.38,1.46,0.76,8.33,12.5,23.53,22.73,15.15,0.0,0.0,0.0,1.83,0.0,0.0,0.0,246.0,2.67,1.52,1.14,57.14,0.76,0.0,0.76,0.76,0.0,0.0,0.0,0.0,246.0,0.74,0.74,0.0,0.74,0.0,0.0,0.0,0.0,0.74,100.0,1.48,4.0,4.0,0.0
Ben Sheppard,Indiana Pacers,IND @ CHA,IND @ CHA,3800.0,23.0,232.5,-4.5,2026-01-09,167.0,-5.22,361.0,15.79,2.77,6.65,41.67,2.77,9.14,30.3,30.3,1.94,4.43,1.11,7.48,0.83,80.0,88.89,90.0,57.89,0.57,43.86,46.72,0.55,0.55,8.33,0.28,3.03,15.95,167.0,3.6,9.14,1.66,1.94,1.11,0.55,0.0,0.83,1.11,167.0,4.33,7.32,0.28,12.5,3.66,16.25,3.38,14.12,15.15,1.39,0.0,0.0,0.28,1.15,1.11,4.08,2.7,12.5,18.42,16.67,15.63,9.52,2.63,0.0,0.0,3.7,5.88,1.0,2.94,167.0,1.66,0.83,0.83,50.0,0.55,0.28,0.28,0.55,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,3.0,0.0,0.0
Drew Peterson,Charlotte Hornets,IND @ CHA,IND @ CHA,,2.32,232.5,-4.5,2026-01-09,46.0,-15.22,86.0,4.65,2.33,3.49,66.67,0.0,9.3,0.0,0.0,0.0,2.33,2.33,0.0,0.0,50.0,50.0,0.0,72.73,0.59,18.18,18.18,0.0,0.0,0.0,0.0,0.0,10.58,46.0,2.33,5.81,1.16,1.16,0.0,1.16,0.0,1.16,0.0,46.0,4.49,5.43,2.17,50.0,1.09,7.14,2.17,11.76,9.68,3.49,0.0,0.0,0.0,0.0,3.49,11.54,6.25,0.0,20.0,0.0,14.29,0.0,0.0,0.0,0.0,10.53,14.29,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,2.0,1.0,0.0
Tidjane Salaun,Charlotte Hornets,IND @ CHA,IND @ CHA,3900.0,18.0,232.5,-4.5,2026-01-09,287.0,6.52,580.0,18.62,3.97,6.55,60.53,2.93,6.55,44.74,44.74,1.9,6.55,1.38,8.79,0.0,82.61,90.48,100.0,50.0,0.58,63.82,64.29,0.69,0.69,10.53,0.0,0.0,14.14,287.0,2.59,6.55,1.21,1.38,0.86,0.17,0.17,0.34,1.03,287.0,5.97,9.78,0.17,9.09,4.72,19.86,4.89,20.71,20.28,2.07,0.0,0.0,0.86,3.91,1.21,5.34,4.63,17.54,22.95,17.39,20.18,23.08,5.26,3.33,0.0,2.83,16.0,0.0,0.0,287.0,2.24,0.86,1.38,38.46,0.34,0.0,0.52,0.52,0.0,0.0,0.17,0.0,287.0,0.67,0.67,0.0,0.17,0.34,0.17,0.0,0.0,0.67,100.0,1.35,4.0,4.0,0.0
Johnny Furphy,Indiana Pacers,IND @ CHA,IND @ CHA,4000.0,25.0,232.5,-4.5,2026-01-09,75.0,-11.44,153.0,16.34,3.27,5.88,55.56,3.27,6.54,50.0,50.0,0.0,6.54,0.0,9.8,0.0,100.0,100.0,100.0,52.63,0.56,65.79,65.79,0.0,0.65,11.11,0.0,0.0,13.86,75.0,1.31,2.61,1.31,0.0,0.0,0.65,0.65,0.0,0.0,75.0,4.05,5.36,1.19,40.0,1.79,9.68,2.38,11.43,10.61,2.61,0.0,0.0,1.31,6.06,1.31,6.06,6.06,0.0,7.14,28.57,10.0,20.0,10.0,6.67,0.0,4.55,9.09,1.0,12.5,75.0,2.61,0.65,1.96,25.0,0.0,0.0,0.65,1.31,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,2.0,0.0
KJ Simpson,Charlotte Hornets,IND @ CHA,IND @ CHA,3600.0,5.04,232.5,-4.5,2026-01-09,126.0,-11.05,251.0,18.73,3.98,11.95,33.33,2.79,7.97,35.0,35.0,2.39,1.59,6.37,8.37,0.0,20.0,22.22,100.0,40.0,0.54,41.0,42.73,0.8,1.2,10.0,0.0,0.0,22.0,126.0,7.97,21.12,2.79,5.18,1.59,1.2,0.0,1.99,3.19,126.0,2.98,4.76,0.0,0.0,2.38,12.24,2.38,12.0,12.12,1.2,0.0,0.0,0.0,0.0,1.2,4.62,2.52,10.53,15.79,9.09,14.63,0.0,0.0,0.0,0.0,4.44,5.0,1.0,3.33,126.0,4.38,2.79,1.59,63.64,0.4,0.4,2.39,0.4,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,3.0,5.0,0.0
RayJ Dennis,Indiana Pacers,IND @ CHA,IND @ CHA,,2.09,232.5,-4.5,2026-01-09,109.0,-15.39,230.0,16.52,2.61,10.0,26.09,3.04,10.43,29.17,29.17,2.17,3.48,1.74,6.52,2.61,66.67,66.67,71.43,51.06,0.5,35.11,38.0,0.0,0.43,4.35,0.0,0.0,20.65,109.0,6.96,16.52,4.35,2.61,3.04,0.87,0.43,0.43,2.17,109.0,3.01,2.98,0.0,0.0,2.13,9.26,0.85,3.7,6.48,3.04,0.0,0.0,1.3,4.69,1.74,5.26,5.0,16.67,7.41,0.0,2.86,5.26,0.0,6.25,12.5,4.69,8.33,2.0,6.06,109.0,3.04,2.61,0.43,85.71,0.0,0.43,2.61,0.0,0.0,0.0,0.0,0.0,109.0,0.85,0.85,0.0,0.0,0.85,0.0,0.0,0.0,0.43,50.0,0.85,1.0,1.0,0.0
Ethan Thompson,Indiana Pacers,IND @ CHA,IND @ CHA,3500.0,5.68,232.5,-4.5,2026-01-09,53.0,24.7,104.0,13.46,3.85,4.81,80.0,1.92,7.69,25.0,25.0,0.0,5.77,1.92,5.77,0.0,75.0,75.0,100.0,61.54,0.5,53.85,53.85,0.0,0.0,0.0,0.0,0.0,13.91,53.0,5.77,14.42,2.88,2.88,1.92,0.96,0.0,0.0,2.88,53.0,0.91,1.72,0.0,0.0,0.86,5.26,0.86,4.17,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,2.88,0.96,1.92,33.33,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,1.0,0.0
Liam McNeeley,Charlotte Hornets,IND @ CHA,IND @ CHA,3600.0,3.23,232.5,-4.5,2026-01-09,219.0,5.25,426.0,17.84,1.88,3.05,61.54,3.29,8.92,36.84,36.84,4.23,1.88,1.88,9.15,0.7,50.0,57.14,92.86,74.51,0.54,56.86,61.29,0.47,0.47,15.38,0.0,0.0,13.75,219.0,3.29,8.69,1.17,2.11,0.94,0.23,0.0,0.47,1.64,219.0,4.53,7.59,0.69,33.33,2.99,13.68,3.91,16.19,15.0,1.41,0.23,11.11,0.0,0.0,1.17,4.39,2.27,10.81,14.29,18.75,14.81,20.83,0.0,0.0,0.0,4.4,4.35,1.0,3.7,219.0,1.88,1.17,0.7,62.5,0.0,0.47,1.17,0.0,0.0,0.0,0.0,0.0,219.0,0.46,0.46,0.0,0.23,0.23,0.0,0.0,0.0,0.23,50.0,0.92,0.0,4.0,0.0
Sion James,Charlotte Hornets,IND @ CHA,IND @ CHA,3900.0,6.76,232.5,-4.5,2026-01-09,579.0,1.02,1153.0,11.71,1.56,3.56,43.9,1.91,5.64,33.85,33.85,2.86,2.08,1.04,5.46,0.26,66.67,75.0,95.45,61.32,0.58,48.11,54.44,0.35,0.61,17.07,0.26,4.62,10.48,579.0,4.6,11.88,1.91,2.69,1.65,0.26,0.0,0.95,1.73,579.0,3.18,4.88,0.33,14.29,2.56,11.4,1.99,8.99,10.2,1.39,0.09,3.7,0.26,1.16,1.04,4.11,2.72,11.32,9.92,15.56,7.04,16.67,0.0,2.5,0.0,4.85,1.54,2.0,3.64,579.0,1.47,0.61,0.87,41.18,0.26,0.09,0.35,0.17,0.26,0.0,0.09,0.0,579.0,0.66,0.66,0.0,0.41,0.25,0.0,0.0,0.0,0.41,62.5,1.49,11.0,7.0,0.0
Kon Knueppel,Charlotte Hornets,IND @ CHA,IND @ CHA,6900.0,33.0,232.5,-4.5,2026-01-09,630.0,4.49,1282.0,29.25,4.37,8.89,49.12,5.38,12.79,42.07,42.07,4.37,4.68,4.06,14.74,1.4,53.57,55.56,91.3,58.99,0.54,57.37,60.95,0.31,1.17,13.16,0.08,0.61,23.39,630.0,4.45,11.39,1.95,2.5,1.25,0.55,0.16,1.25,1.25,630.0,3.55,5.28,0.46,16.67,2.45,10.77,2.37,11.11,10.94,1.79,0.08,3.85,0.55,2.51,1.17,4.46,3.58,10.28,11.64,9.09,10.22,14.81,1.75,2.31,5.71,3.54,7.32,4.0,2.96,630.0,3.59,2.26,1.33,63.04,1.17,0.31,1.09,0.39,0.23,0.0,0.16,0.0,630.0,0.38,0.38,0.0,0.23,0.15,0.0,0.0,0.0,0.38,100.0,0.69,4.0,5.0,0.08
Ryan Kalkbrenner,Charlotte Hornets,IND @ CHA,IND @ CHA,4400.0,6.92,232.5,-4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kam Jones,Indiana Pacers,IND @ CHA,IND @ CHA,3500.0,2.45,232.5,-4.5,2026-01-09,17.0,31.57,31.0,35.48,12.9,16.13,80.0,3.23,6.45,50.0,50.0,0.0,0.0,25.81,9.68,0.0,0.0,0.0,100.0,28.57,0.5,78.57,78.57,0.0,0.0,0.0,0.0,0.0,20.59,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taelon Peter,Indiana Pacers,IND @ CHA,IND @ CHA,3500.0,1.25,232.5,-4.5,2026-01-09,60.0,4.32,122.0,8.2,0.0,0.82,0.0,2.46,7.38,33.33,33.33,0.82,0.0,0.0,4.92,2.46,0.0,0.0,66.67,90.0,0.53,45.0,45.45,0.0,0.0,0.0,0.0,0.0,10.07,60.0,7.38,18.03,4.1,3.28,2.46,1.64,0.0,0.0,3.28,60.0,2.69,3.62,0.0,0.0,3.62,19.23,0.0,0.0,8.06,1.64,0.0,0.0,0.0,0.0,1.64,6.45,3.45,11.11,21.43,33.33,0.0,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,60.0,2.46,0.82,1.64,33.33,0.0,0.0,0.82,1.64,0.0,0.0,0.0,0.0,60.0,1.45,1.45,0.0,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.72,0.0,1.0,0.0
Nikola Vucevic,Chicago Bulls,MIA @ CHI,MIA @ CHI,7600.0,32.0,237.5,7.5,2026-01-09,316.0,-14.8,652.0,25.0,7.06,14.57,48.42,2.91,7.06,41.3,41.3,2.15,11.04,3.07,8.28,0.46,78.26,83.72,94.74,32.62,0.5,52.84,53.97,0.92,0.77,5.26,0.0,0.0,23.5,316.0,6.44,15.03,4.29,2.15,3.22,0.77,0.31,0.61,1.53,316.0,7.63,12.07,0.45,23.08,7.45,29.07,4.17,19.05,24.45,3.07,0.0,0.0,1.69,8.59,1.38,5.33,6.73,24.44,28.87,36.67,16.38,29.03,12.07,6.67,0.0,5.3,5.41,3.0,4.23,316.0,2.61,1.84,0.77,70.59,0.46,0.0,1.38,0.31,0.31,0.0,0.0,0.0,316.0,0.45,0.45,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.0,0.0
Andrew Wiggins,Miami Heat,MIA @ CHI,MIA @ CHI,6300.0,30.0,237.5,7.5,2026-01-09,1003.0,1.13,2160.0,22.96,6.34,12.27,51.7,2.64,6.76,39.04,39.04,2.36,5.83,6.85,7.5,0.42,45.99,52.94,94.74,35.52,0.54,54.14,55.98,1.67,1.02,8.3,0.05,0.68,20.16,1003.0,4.17,10.09,2.41,1.76,1.57,0.65,0.19,0.46,1.3,1003.0,3.44,4.2,0.28,13.64,1.84,8.16,2.07,8.56,8.37,2.69,0.0,0.0,1.57,5.92,1.11,5.24,5.62,10.86,5.93,8.86,7.98,10.4,5.8,6.55,3.33,4.09,8.62,12.0,6.22,1003.0,2.31,1.57,0.74,68.0,0.88,0.23,0.69,0.23,0.05,0.0,0.0,0.05,1003.0,1.66,1.57,0.09,0.97,0.46,0.14,0.09,0.0,1.06,63.89,1.8,17.0,22.0,0.0
Norman Powell,Miami Heat,MIA @ CHI,MIA @ CHI,7200.0,32.5,237.5,7.5,2026-01-09,943.0,4.95,2043.0,36.17,7.39,13.66,54.12,4.6,10.87,42.34,42.34,7.59,8.03,6.75,11.89,1.91,54.3,55.41,86.17,44.31,0.55,58.28,64.79,0.29,1.37,10.04,0.15,1.35,27.15,943.0,4.11,9.3,3.03,1.08,1.76,1.13,0.15,0.49,0.59,943.0,2.81,5.02,0.1,4.44,2.58,11.47,2.34,9.8,10.61,0.59,0.0,0.0,0.29,1.09,0.29,1.47,1.26,10.19,10.88,16.67,9.46,10.83,0.48,1.75,0.0,1.0,2.83,4.0,1.79,943.0,2.94,1.32,1.62,45.0,1.03,0.39,0.29,0.54,0.1,0.0,0.34,0.0,943.0,0.29,0.29,0.0,0.2,0.1,0.0,0.0,0.0,0.24,83.33,1.9,19.0,20.0,0.0
Zach Collins,Chicago Bulls,MIA @ CHI,MIA @ CHI,4000.0,0.0,237.5,7.5,2026-01-09,42.0,6.95,93.0,20.43,5.38,10.75,50.0,2.15,4.3,50.0,50.0,3.23,8.6,2.15,6.45,0.0,80.0,100.0,100.0,28.57,0.6,57.14,59.38,2.15,1.08,10.0,0.0,0.0,18.18,42.0,2.15,5.38,1.08,1.08,1.08,0.0,0.0,1.08,0.0,42.0,8.79,14.61,2.25,66.67,7.87,35.0,4.49,22.22,28.95,3.23,0.0,0.0,3.23,14.29,0.0,0.0,7.32,44.44,12.5,66.67,23.08,20.0,15.38,16.67,0.0,0.0,0.0,0.0,0.0,42.0,4.3,1.08,3.23,25.0,0.0,0.0,1.08,1.08,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bam Adebayo,Miami Heat,MIA @ CHI,MIA @ CHI,7400.0,31.0,237.5,7.5,2026-01-09,842.0,4.05,1791.0,25.29,7.26,14.74,49.24,1.95,6.03,32.41,32.41,4.91,9.6,4.91,5.53,0.34,66.15,71.07,94.29,29.03,0.53,49.06,53.55,1.01,0.67,4.55,0.0,0.0,23.26,842.0,3.69,9.1,1.95,1.73,1.51,0.22,0.22,0.22,1.51,842.0,7.42,12.25,0.78,43.75,6.24,27.05,5.23,22.98,25.03,2.57,0.06,1.89,1.06,4.02,1.45,6.86,5.28,23.78,28.28,30.14,22.55,24.27,3.03,5.18,1.75,7.86,4.04,3.0,1.55,842.0,2.9,1.62,1.28,55.77,1.06,0.34,0.56,0.28,0.11,0.0,0.11,0.11,842.0,1.17,1.11,0.06,0.61,0.45,0.06,0.06,0.0,0.72,61.9,1.39,6.0,19.0,0.17
Kevin Knox,Chicago Bulls,MIA @ CHI,MIA @ CHI,,3.01,237.5,7.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Huerter,Chicago Bulls,MIA @ CHI,MIA @ CHI,5800.0,28.0,237.5,7.5,2026-01-09,235.0,-12.46,486.0,19.96,7.2,10.7,67.31,1.23,10.08,12.24,12.24,1.85,8.23,6.17,3.7,0.0,57.14,62.5,100.0,48.51,0.57,43.56,46.19,1.23,1.23,11.54,0.0,0.0,22.18,235.0,4.53,9.47,4.12,0.41,2.88,1.03,0.21,0.0,0.41,235.0,4.09,7.1,0.41,28.57,2.64,9.22,4.06,20.2,13.75,1.03,0.0,0.0,0.41,1.96,0.62,2.61,2.3,7.69,8.97,12.5,21.62,16.0,2.04,2.17,0.0,2.25,3.85,1.0,1.85,235.0,3.09,2.67,0.41,86.67,1.03,0.0,1.65,0.41,0.0,0.0,0.0,0.0,235.0,0.81,0.81,0.0,0.2,0.61,0.0,0.0,0.0,0.41,50.0,2.23,4.0,7.0,0.0
Jevon Carter,Chicago Bulls,MIA @ CHI,MIA @ CHI,3600.0,7.92,237.5,7.5,2026-01-09,82.0,-27.83,158.0,17.72,1.27,3.8,33.33,5.06,12.66,40.0,40.0,0.0,2.53,0.0,13.29,1.9,100.0,100.0,87.5,76.92,0.53,53.85,53.85,0.0,0.63,16.67,0.0,0.0,18.54,82.0,3.16,8.23,1.27,1.9,0.63,0.63,0.0,0.0,1.9,82.0,2.74,3.53,0.0,0.0,1.18,6.9,2.35,10.53,8.96,1.9,0.0,0.0,0.63,2.56,1.27,4.55,3.61,0.0,6.67,16.67,3.85,25.0,0.0,0.0,25.0,5.26,0.0,0.0,0.0,82.0,4.43,1.9,2.53,42.86,0.63,0.0,1.27,1.27,0.0,0.0,0.63,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,2.0,0.0
Coby White,Chicago Bulls,MIA @ CHI,MIA @ CHI,6600.0,26.0,237.5,7.5,2026-01-09,99.0,-9.82,199.0,31.66,7.54,13.57,55.56,3.02,11.56,26.09,26.09,7.54,2.01,13.07,7.54,1.51,13.33,13.33,83.33,46.0,0.53,48.0,53.39,0.0,1.01,7.41,0.0,0.0,33.03,99.0,8.54,23.12,2.51,6.03,1.01,1.01,0.5,2.51,3.52,99.0,4.42,8.65,0.96,25.0,4.33,19.57,3.37,13.73,16.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,17.39,11.11,12.82,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,7.04,5.03,2.01,71.43,3.02,0.5,2.01,1.51,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,1.0,0.0
