FD_ID,FD_POS,FD_GAME,PLAYER_FULL,PLAYER,NAME_KEY,team,TEAM,OPPONENT,gameInfo,game_abbr,salary,SAL,minutes,WOWY_USG,USG,TEAM_IMPLIED_PTS,TEAM_MODEL_PTS_SUM,TEAM_PTS_SCALE,WOWY_PPM,BASE_PPM,poss_per_min,pace_scale_raw,pace_scale,poss_exp,WOWY_MINS_SAMPLE,BASE_PTS100,WOWY_PTS100,PTS100,BASE_REB100,WOWY_REB100,REB100,BASE_AST100,WOWY_AST100,AST100,BASE_STL100,WOWY_STL100,STL100,BASE_BLK100,WOWY_BLK100,BLK100,BASE_TOV100,WOWY_TOV100,TOV100,PTS,REB,AST,STL,BLK,TOV,OPP_DEF_RTG,DEF_MULT_MEAN,DEF_MULT_RAW,fd_mean,fd_sd,fd_var,value,own_pct
125062-49116,SF/PF,MIA@DET,Andrew Wiggins,A. Wiggins,andrew wiggins,Miami Heat,MIA,DET,MIA @ DET,MIA @ DET,6600.0,$6600,32.5,0.16920000000000002,0.2050799293702178,116.0,119.4441450000943,0.9775088758007231,2.1543086172344688,2.197802197802198,2.1858664005059985,1.037280701754386,1.037280701754386,73.68910360039136,499.0,23.1,18.33,19.789017939663175,6.8,7.13,6.942120054726759,4.2,4.0,4.113866633498934,1.6,1.48,1.581561870044725,1.6,1.94,1.6522413682066133,2.3,2.6,2.4085917539961272,13.746481337950996,5.115586039191148,2.9550030818655606,1.1654387649215443,1.217521853546295,1.7437463921636784,110.2,0.9723025971762247,0.9465835802684333,29.72282467101855,8.265283230796399,68.76560053884414,4.503458283487659,25.888883715730287
125062-188422,SF/PF,MIA@DET,Jaime Jaquez Jr.,J. Jr.,jaime jaquez,Miami Heat,MIA,DET,MIA @ DET,MIA @ DET,6300.0,$6300,29.0,0.2253,0.2218054945054945,116.0,119.4441450000943,0.9775088758007231,2.1338709677419354,,2.1338709677419354,1.037280701754386,1.037280701754386,64.1892720713073,620.0,,25.62,25.62,,8.25,8.25,,6.73,6.73,,1.27,1.27,,0.3,0.3,,3.63,3.63,15.630171071655456,5.2956149458828525,4.2299509473114485,0.8152037553056026,0.1925678162139219,2.2938907541021267,110.2,0.9723025971762247,0.9465835802684333,29.0592593881385,7.369566606171175,54.267392430066664,4.612580855260079,25.99567416422476
125062-171767,SF/PF,HOU@BKN,Jabari Smith,J. Smith,jabari smith,Houston Rockets,HOU,BKN,HOU @ BKN,HOU @ BKN,6600.0,$6600,34.0,0.1834,0.20586547314578005,115.0,118.03602388156989,0.9799374923879127,2.033112582781457,,2.033112582781457,0.9583333333333334,0.9583333333333334,66.24558498896248,755.0,,23.84,23.84,,9.92,9.92,,2.8,2.8,,1.13,1.13,,0.86,0.86,,2.02,2.02,15.457297220147641,6.571562030905078,1.8322640325601822,0.7485751103752759,0.5697120309050773,1.333936935033177,116.0,1.007686944396026,1.014824821335193,28.712492194881893,7.30604435007828,53.71180871549728,4.350377605285136,25.598982054594646
125062-188426,SG/SF,MIA@DET,Ausar Thompson,A. Thompson,ausar thompson,Detroit Pistons,DET,MIA,MIA @ DET,MIA @ DET,5800.0,$5800,27.0,0.1754,0.2135740370898716,120.5,133.33523614204162,0.92491494011285,1.9801980198019802,2.0876826722338206,2.072719238462811,1.037280701754386,1.037280701754386,58.04977498773807,202.0,21.0,22.25,21.615604125566918,10.6,8.469999999999999,10.079418340937558,4.8,5.5,4.971083174339769,2.8,4.23,2.9030142748282115,1.3,1.99,1.3497061885534727,2.8,1.5,2.546197987927011,11.427901524813844,5.8510796669870535,2.7615378932929087,1.6851932543996928,0.7835014054508666,1.447302222947762,112.5,0.986334321073732,0.9736447620707689,28.55028572174159,8.224614349578092,67.83594658540228,4.922463055472688,26.709316539536182
125062-203713,PG/SG,HOU@BKN,Reed Sheppard,R. Sheppard,reed sheppard,Houston Rockets,HOU,BKN,HOU @ BKN,HOU @ BKN,6100.0,$6100,28.0,0.2018,0.2146018757327081,115.0,118.03602388156989,0.9799374923879127,2.067193675889328,2.0833333333333335,2.0786584605499305,0.9583333333333334,0.9583333333333334,55.7773353580898,506.0,25.0,24.86,24.900620260788433,5.4,5.640000000000001,5.507806369469661,6.5,6.5,6.5,3.0,2.79,2.9656257438378395,1.1,1.49,1.163837904301155,2.2,2.49,2.3100589561790508,13.691741724013772,3.072107629573323,3.595475610088569,1.6541470166062768,0.6491577709066194,1.2867223107272807,116.0,1.007686944396026,1.014824821335193,28.394676346446015,8.072595987596259,65.32186469027576,4.654864974827216,26.050643655922375
125062-157812,PG,MIA@DET,Davion Mitchell,D. Mitchell,davion mitchell,Miami Heat,MIA,DET,MIA @ DET,MIA @ DET,5400.0,$5400,30.0,0.1592,0.20552380952380953,116.0,119.4441450000943,0.9775088758007231,2.128,2.1691973969631237,2.1600586193654574,1.037280701754386,1.037280701754386,67.21761361578035,375.0,14.3,18.55,16.981958597696963,3.9,3.85,3.881844513061616,11.4,11.28,11.356426831347878,1.9,1.86,1.8951855286055768,0.1,0.37,0.13249768191235625,2.4,2.38,2.3940095568573247,10.783643868714902,2.609283245955127,7.449711654201802,1.2738984859202809,0.08906177987771331,1.5818206549793348,110.2,0.9723025971762247,0.9465835802684333,27.596411387578403,7.537685237497232,57.18033025113939,5.11044655325526,27.437779199575463
125062-188431,PF,HOU@BKN,Noah Clowney,N. Clowney,noah clowney,Brooklyn Nets,BKN,HOU,HOU @ BKN,HOU @ BKN,5400.0,$5400,33.0,0.23420000000000002,0.22272525252525252,103.5,103.35480347616082,1.0010957718924083,1.9684210526315788,2.0491803278688527,2.0334718416760067,0.9583333333333334,0.9583333333333334,64.30854699300372,285.0,22.8,27.63,25.657671400536334,6.9,6.58,6.795784550046763,3.3,3.21,3.2706894047006516,1.2,1.03,1.182341958331161,1.4,1.03,1.3615677916619384,3.2,4.1,3.4393140094097596,16.332733425758473,4.370270300910109,2.096216943764129,0.7603469338913951,0.8756044631425206,2.2023242136436174,112.9,0.9887746208819942,0.9783510545581318,27.426913179954923,7.591740301951737,57.56547272144164,5.079057996287949,27.479667425583656
125062-157811,C,BOS@SAC,Neemias Queta,N. Queta,neemias queta,Boston Celtics,BOS,SAC,BOS @ SAC,BOS @ SAC,5200.0,$5200,24.5,0.14730000000000001,0.1933126582278481,119.5,120.12915040689965,0.9959149189374976,1.9698275862068966,2.0120724346076457,1.9982353238291604,1.006578947368421,1.006578947368421,49.27884941693163,696.0,20.2,19.91,19.9839317434104,15.5,16.09,15.791141589159361,3.1,3.28,3.188822857709636,1.6,1.6,1.6,2.5,2.69,2.5360045842055174,1.7,1.75,1.7211088579793914,10.051398545497593,7.781692884936305,1.580782704123078,0.788461590670906,1.24971388025712,0.856342146412856,119.4,1.0284294927662543,1.0548283074777762,27.018788329976996,7.655418721040541,59.29971443231125,5.195920832687883,27.535708314603106
125062-163978,PG,PHI@DAL,Brandon Williams,B. Williams,brandon williams,Dallas Mavericks,DAL,PHI,PHI @ DAL,PHI @ DAL,5300.0,$5300,26.0,0.24280000000000002,0.22777528830313015,114.0,118.19434479316729,0.9723202582628165,2.130434782608696,2.1739130434782608,2.158624539688991,1.0109649122807018,1.0109649122807018,56.739635378754926,621.0,23.7,24.64,24.419034361716513,5.2,5.369999999999999,5.28845290902994,8.1,8.01,8.053171989337091,2.5,2.57,2.514458744458956,0.5,0.45,0.48967232538646,3.8,3.85,3.822429214101507,13.353410248714722,3.0006488977607457,4.492246081579733,1.426694723355231,0.2778382919749478,2.149246700082953,113.3,0.9912149206902563,0.9830573470454943,26.656910394304802,7.696148989349124,59.02859224494465,5.029605734774491,27.194510588715016
125062-145307,PF/C,MIA@DET,Isaiah Stewart,I. Stewart,isaiah stewart,Detroit Pistons,DET,MIA,MIA @ DET,MIA @ DET,4700.0,$4700,24.5,0.1852,0.21417987508674532,120.5,133.33523614204162,0.92491494011285,2.037344398340249,2.11864406779661,2.10545202334918,1.037280701754386,1.037280701754386,53.50664643110082,241.0,21.0,24.64,22.956501851376597,12.0,11.96,11.988831152360419,2.3,2.24,2.283246728540627,0.4,0.4,0.4,4.0,3.24,3.9353510164682213,2.5,1.83,2.3491620645307183,11.197218080627707,6.4148214959151595,1.1697117724898884,0.21402658572440328,2.105674354204383,1.2310811147320266,112.5,0.986334321073732,0.9736447620707689,26.37759323951506,7.8643556988065955,62.00677926592649,5.612253880747885,28.614064487321087
