FD_ID,PLAYER_FULL,NAME_KEY,PLAYER,TEAM,OPPONENT,POS,FD_GAME,SALARY,SAL,PROJECTION,FD_SD,VALUE,MINUTES,OWN_PCT,Pace Scale,Pace Scale Raw,Proj Poss,Proj PTS,Proj REB,Proj AST,Proj STL,Proj BLK,Proj TOV,Opp Def,Def Mult Mean,Def Mult Raw,WOWY Min Sample,USG
125339-171759,Chet Holmgren,chet holmgren,C. Holmgren,OKC,,PF/C,UTA@OKC,8200.0,$8200,41.82,9.35,5.1,31.0,28.55,1.05,1.05,69.16,21.92,9.31,1.79,0.62,2.1,2.12,,1.0,1.0,118.0,0.23
125339-80812,Lauri Markkanen,lauri markkanen,L. Markkanen,UTA,,SF/PF,UTA@OKC,8600.0,$8600,41.8,8.45,4.86,32.5,28.15,1.05,1.05,73.63,27.65,6.66,1.97,1.07,0.44,1.34,,1.0,1.0,775.0,0.24
125339-110345,Kevin Porter Jr.,kevin porter,K. Jr.,MIL,GS,PG/SG,MIL@GS,8400.0,$8400,41.52,9.68,4.94,36.0,28.42,1.0,1.0,73.22,18.24,5.59,8.04,2.33,0.33,3.46,,1.0,1.0,542.0,0.23
125339-110310,Zion Williamson,zion williamson,Z. Williamson,NOP,ATL,PF,NO@ATL,8700.0,$8700,41.51,8.99,4.77,30.0,27.89,1.08,1.08,70.54,24.9,6.42,3.93,1.29,0.67,2.86,115.6,1.01,1.01,230.0,0.23
125339-58460,Devin Booker,devin booker,D. Booker,PHX,MEM,PG/SG,PHO@MEM,8800.0,$8800,41.4,8.82,4.7,34.5,27.91,1.02,1.02,74.0,26.22,4.19,6.45,0.96,0.39,3.57,114.0,1.0,0.99,969.0,0.26
125339-171760,Jalen Williams,jalen williams,J. Williams,OKC,,SF/PF,UTA@OKC,7800.0,$7800,41.31,9.18,5.3,32.5,28.93,1.05,1.05,73.21,20.4,5.98,6.39,1.77,0.42,2.4,,1.0,1.0,112.0,0.23
125339-203764,Alex Sarr,alex sarr,A. Sarr,WAS,PHI,PF/C,WAS@PHI,7700.0,$7700,41.26,9.73,5.36,29.0,28.93,1.03,1.03,64.17,18.37,8.15,3.21,0.81,2.56,1.82,113.3,0.99,0.98,249.0,0.23
125339-49675,Derrick White,derrick white,D. White,BOS,DEN,PG/SG,DEN@BOS,8400.0,$8400,40.51,9.56,4.82,35.0,28.16,1.01,1.01,71.32,19.45,4.59,5.52,1.49,1.57,1.9,115.4,1.0,1.01,1073.0,0.23
125339-171770,Paolo Banchero,paolo banchero,P. Banchero,ORL,BKN,SF/PF,ORL@BKN,10200.0,$10200,40.44,8.59,3.96,34.0,28.66,0.97,0.97,68.91,21.26,8.32,5.08,0.64,0.72,2.51,116.0,1.01,1.01,516.0,0.24
125339-145485,LaMelo Ball,lamelo ball,L. Ball,CHA,TOR,PG,TOR@CHA,8600.0,$8600,40.28,8.78,4.68,27.5,27.63,1.01,1.01,59.13,21.06,5.08,8.25,1.15,0.22,3.36,111.8,0.98,0.97,192.0,0.23
125339-145329,Paul Reed,paul reed,P. Reed,DET,CHI,C,CHI@DET,4900.0,$4900,40.26,9.73,8.22,28.0,32.47,1.01,1.01,61.5,15.92,10.17,2.94,1.89,1.48,2.38,117.6,1.02,1.03,147.0,0.22
125339-188412,Keyonte George,keyonte george,K. George,UTA,,PG/SG,UTA@OKC,8700.0,$8700,38.63,8.5,4.44,32.0,27.27,1.05,1.05,71.76,23.17,4.11,6.95,0.92,0.27,3.44,,1.0,1.0,775.0,0.24
125339-80810,De'Aaron Fox,de aaron fox,D. Fox,SAS,SA,PG,LAL@SA,8200.0,$8200,38.57,8.69,4.7,32.0,27.83,1.03,1.03,70.58,22.05,3.96,6.0,1.42,0.33,2.48,,1.0,1.0,370.0,0.23
125339-228132,Derik Queen,derik queen,D. Queen,NOP,ATL,PF/C,NO@ATL,7000.0,$7000,38.48,9.22,5.5,30.0,29.19,1.08,1.08,69.38,16.51,8.64,4.97,1.31,1.12,3.14,115.6,1.01,1.01,183.0,0.22
125339-14528,Jimmy Butler,jimmy butler,J. Butler,GSW,GS,SF/PF,MIL@GS,8100.0,$8100,38.1,8.54,4.7,32.0,27.83,1.0,1.0,66.19,20.09,5.56,5.04,1.54,0.26,1.63,,1.0,1.0,985.0,0.22
125339-14514,Nikola Vucevic,nikola vucevic,N. Vucevic,CHI,DET,C,CHI@DET,7400.0,$7400,37.87,8.06,5.12,32.0,28.61,1.01,1.01,69.17,18.43,9.59,4.21,0.71,0.4,1.69,110.2,0.97,0.95,285.0,0.22
125339-66048,Brandon Ingram,brandon ingram,B. Ingram,TOR,CHA,SF/PF,TOR@CHA,8100.0,$8100,37.8,8.48,4.67,35.0,27.86,1.01,1.01,72.45,22.42,6.46,3.88,0.78,0.75,2.81,117.7,1.02,1.03,818.0,0.24
125339-171784,Dyson Daniels,dyson daniels,D. Daniels,ATL,NO,PG/SG,NO@ATL,7700.0,$7700,37.16,9.09,4.83,34.0,28.14,1.08,1.08,78.43,13.63,6.91,6.8,1.99,0.5,2.42,,1.0,1.0,1000.0,0.2
125339-188405,Amen Thompson,amen thompson,A. Thompson,HOU,POR,PG/SG,HOU@POR,8300.0,$8300,37.11,8.62,4.47,36.0,27.49,0.97,0.97,71.33,18.31,7.2,5.08,1.25,0.51,2.74,116.2,1.01,1.02,368.0,0.22
125339-203723,Stephon Castle,stephon castle,S. Castle,SAS,SA,PG/SG,LAL@SA,8000.0,$8000,36.52,8.76,4.57,32.0,27.54,1.03,1.03,70.36,17.36,5.4,7.7,1.39,0.27,3.85,,1.0,1.0,251.0,0.22
125339-110356,Nickeil Alexander-Walker,nickeil alexander walker,N. Alexander-Walker,ATL,NO,PG/SG,NO@ATL,6700.0,$6700,36.01,8.3,5.37,32.0,29.05,1.08,1.08,75.52,23.84,3.77,3.53,1.0,0.6,2.46,,1.0,1.0,928.0,0.24
125339-157844,Santi Aldama,santi aldama,S. Aldama,MEM,PHX,PF/C,PHO@MEM,7200.0,$7200,35.77,8.29,4.97,29.5,28.26,1.02,1.02,64.49,17.65,7.38,3.66,0.97,0.78,1.49,113.7,0.99,0.99,627.0,0.22
125339-84678,Miles Bridges,miles bridges,M. Bridges,CHA,TOR,SF/PF,TOR@CHA,7500.0,$7500,35.02,7.71,4.67,32.0,27.76,1.01,1.01,66.6,21.47,5.7,3.38,0.5,0.55,1.52,111.8,0.98,0.97,454.0,0.23
125339-55057,Jusuf Nurkic,jusuf nurkic,J. Nurkic,UTA,,C,UTA@OKC,6500.0,$6500,35.0,8.61,5.39,27.5,28.94,1.05,1.05,62.84,11.64,11.04,4.91,1.44,0.43,2.88,,1.0,1.0,648.0,0.21
125339-188408,Anthony Black,anthony black,A. Black,ORL,BKN,PG/SG,ORL@BKN,7800.0,$7800,34.82,8.62,4.46,32.0,27.32,0.97,0.97,64.68,19.49,4.2,4.23,1.35,0.78,2.43,116.0,1.01,1.01,574.0,0.23
125339-145334,Desmond Bane,desmond bane,D. Bane,ORL,BKN,SG/SF,ORL@BKN,7900.0,$7900,34.76,8.07,4.4,34.0,27.26,0.97,0.97,69.32,21.07,4.28,4.47,0.76,0.61,2.25,116.0,1.01,1.01,551.0,0.23
125339-110354,Nic Claxton,nic claxton,N. Claxton,BKN,ORL,C,ORL@BKN,6500.0,$6500,34.67,8.4,5.33,30.0,28.92,0.97,0.97,58.87,14.36,7.68,4.35,0.75,1.26,1.46,112.8,0.99,0.98,786.0,0.2
125339-228133,VJ Edgecombe,vj edgecombe,V. Edgecombe,PHI,WSH,SG/SF,WAS@PHI,7600.0,$7600,34.51,8.42,4.54,36.0,27.63,1.03,1.03,76.77,17.01,5.59,4.17,1.44,0.62,1.63,,1.0,1.0,884.0,0.21
125339-84670,Mikal Bridges,mikal bridges,M. Bridges,NYK,NY,SG/SF,LAC@NY,6800.0,$6800,34.24,8.55,5.03,35.0,28.56,0.98,0.98,71.33,15.56,4.79,4.43,1.58,0.84,0.98,,1.0,1.0,613.0,0.2
125339-203714,Donovan Clingan,donovan clingan,D. Clingan,POR,HOU,C,HOU@POR,6600.0,$6600,33.99,8.16,5.15,29.5,28.59,0.97,0.97,60.65,12.42,11.85,1.84,0.45,1.44,1.08,112.9,0.99,0.98,389.0,0.2
125339-84673,Deandre Ayton,deandre ayton,D. Ayton,LAL,SA,C,LAL@SA,6100.0,$6100,33.74,8.27,5.53,30.0,29.24,1.03,1.03,64.5,17.78,8.77,0.99,0.87,1.12,1.99,,1.0,1.0,179.0,0.22
125339-12341,Paul George,paul george,P. George,PHI,WSH,SF/PF,WAS@PHI,6800.0,$6800,33.56,8.38,4.94,32.0,28.28,1.03,1.03,68.96,16.88,6.04,3.68,1.45,0.55,2.07,,1.0,1.0,506.0,0.22
125339-68090,OG Anunoby,og anunoby,O. Anunoby,NYK,NY,SF/PF,LAC@NY,7000.0,$7000,33.48,8.85,4.78,35.0,28.09,0.98,0.98,72.67,16.03,6.35,2.42,2.0,0.79,2.17,,1.0,1.0,542.0,0.21
125339-228135,Kon Knueppel,kon knueppel,K. Knueppel,CHA,TOR,SG/SF,TOR@CHA,6900.0,$6900,33.25,7.56,4.82,33.0,28.09,1.01,1.01,69.4,21.8,5.05,3.63,0.61,0.23,2.57,111.8,0.98,0.97,399.0,0.23
125339-145307,Isaiah Stewart,isaiah stewart,I. Stewart,DET,CHI,PF/C,CHI@DET,6000.0,$6000,33.08,8.86,5.51,30.0,29.21,1.01,1.01,63.68,14.98,7.48,1.43,0.32,2.62,1.83,117.6,1.02,1.03,113.0,0.22
125339-110357,RJ Barrett,rj barrett,R. Barrett,TOR,CHA,SG/SF,TOR@CHA,6700.0,$6700,32.69,7.56,4.88,30.0,28.11,1.01,1.01,64.2,19.94,5.07,3.63,0.83,0.19,1.84,117.7,1.02,1.03,369.0,0.23
125339-171772,Ryan Rollins,ryan rollins,R. Rollins,MIL,GS,PG/SG,MIL@GS,7200.0,$7200,32.61,8.33,4.53,32.0,27.46,1.0,1.0,65.72,15.89,4.49,5.37,1.51,0.36,2.36,,1.0,1.0,1001.0,0.23
125339-171804,Shaedon Sharpe,shaedon sharpe,S. Sharpe,POR,HOU,PG/SG,HOU@POR,7300.0,$7300,32.44,8.18,4.44,31.0,27.24,0.97,0.97,64.96,21.63,4.33,2.63,1.51,0.13,3.27,112.9,0.99,0.98,448.0,0.25
125339-145335,Payton Pritchard,payton pritchard,P. Pritchard,BOS,DEN,PG/SG,DEN@BOS,6900.0,$6900,32.41,7.45,4.7,34.0,27.88,1.01,1.01,69.68,16.94,4.69,5.51,0.86,0.08,1.24,115.4,1.0,1.01,1057.0,0.21
125339-203808,Ajay Mitchell,ajay mitchell,A. Mitchell,OKC,,PG/SG,UTA@OKC,5300.0,$5300,32.4,8.44,6.11,30.0,30.47,1.05,1.05,67.71,15.67,4.33,4.46,1.83,0.4,1.84,,1.0,1.0,142.0,0.22
125339-145348,Immanuel Quickley,immanuel quickley,I. Quickley,TOR,CHA,PG/SG,TOR@CHA,6700.0,$6700,31.8,7.69,4.75,32.0,27.91,1.01,1.01,66.81,15.65,4.02,6.42,1.02,0.12,1.73,117.7,1.02,1.03,698.0,0.22
125339-171668,Collin Gillespie,collin gillespie,C. Gillespie,PHX,MEM,PG/SG,PHO@MEM,6700.0,$6700,31.71,8.17,4.73,29.5,27.8,1.02,1.02,63.47,14.92,4.27,5.31,1.55,0.32,1.89,114.0,1.0,0.99,847.0,0.21
125339-60233,Dillon Brooks,dillon brooks,D. Brooks,PHX,MEM,SG/SF,PHO@MEM,5800.0,$5800,31.63,7.71,5.45,32.5,29.31,1.02,1.02,69.54,22.87,3.35,1.77,1.33,0.07,2.14,114.0,1.0,0.99,801.0,0.24
125339-171767,Jabari Smith,jabari smith,J. Smith,HOU,POR,PF/C,HOU@POR,6100.0,$6100,31.19,7.4,5.11,35.0,28.69,0.97,0.97,68.44,16.54,7.41,2.47,0.52,0.61,1.32,116.2,1.01,1.02,389.0,0.21
125339-188416,Bilal Coulibaly,bilal coulibaly,B. Coulibaly,WAS,PHI,SF/PF,WAS@PHI,5500.0,$5500,31.18,8.89,5.67,31.0,29.77,1.03,1.03,68.11,12.23,6.16,2.9,1.86,1.21,2.0,113.3,0.99,0.98,218.0,0.22
125339-203761,Matas Buzelis,matas buzelis,M. Buzelis,CHI,DET,SF/PF,CHI@DET,6400.0,$6400,30.81,8.21,4.81,29.0,27.94,1.01,1.01,63.11,16.52,5.9,1.87,0.8,1.36,2.09,110.2,0.97,0.95,217.0,0.22
125339-171757,Jake LaRavia,jake laravia,J. LaRavia,LAL,SA,SF/PF,LAL@SA,6000.0,$6000,30.16,8.18,5.03,34.0,28.51,1.03,1.03,73.64,13.34,5.9,2.77,1.75,0.55,1.33,,1.0,1.0,311.0,0.2
125339-188426,Ausar Thompson,ausar thompson,A. Thompson,DET,CHI,SG/SF,CHI@DET,5500.0,$5500,30.04,8.32,5.46,27.0,29.35,1.01,1.01,56.75,13.16,6.05,2.85,1.6,0.78,1.77,117.6,1.02,1.03,51.0,0.22
125339-171769,Tari Eason,tari eason,T. Eason,HOU,POR,SF/PF,HOU@POR,6000.0,$6000,29.5,7.93,4.92,28.5,28.13,0.97,0.97,57.39,14.61,6.78,1.8,1.28,0.66,1.78,116.2,1.01,1.02,200.0,0.22
125339-171786,Mark Williams,mark williams,M. Williams,PHX,MEM,C,PHO@MEM,5600.0,$5600,29.08,7.78,5.19,23.0,28.71,1.02,1.02,49.88,12.79,8.09,1.11,1.14,0.84,1.02,114.0,1.0,0.99,631.0,0.21
125339-84676,Wendell Carter Jr.,wendell carter,W. Jr.,ORL,BKN,C,ORL@BKN,5800.0,$5800,29.07,7.11,5.01,30.0,28.48,0.97,0.97,59.47,13.68,7.75,2.49,0.68,0.37,0.82,116.0,1.01,1.01,462.0,0.21
125339-63122,Kristaps Porzingis,kristaps porzingis,K. Porzingis,ATL,NO,PF/C,NO@ATL,5500.0,$5500,28.98,7.5,5.27,20.0,28.81,1.08,1.08,46.31,15.81,4.67,2.45,0.41,1.17,0.86,,1.0,1.0,300.0,0.23
125339-145323,Tre Jones,tre jones,T. Jones,CHI,DET,PG/SG,CHI@DET,6000.0,$6000,28.95,7.61,4.82,27.0,27.9,1.01,1.01,59.85,13.75,2.76,5.79,1.3,0.19,1.28,110.2,0.97,0.95,238.0,0.21
125339-171761,Peyton Watson,peyton watson,P. Watson,DEN,BOS,SF/PF,DEN@BOS,6800.0,$6800,28.87,8.03,4.25,33.0,26.87,1.01,1.01,69.37,15.0,5.3,1.85,1.1,1.07,1.76,114.2,1.0,0.99,255.0,0.22
125339-84667,Collin Sexton,collin sexton,C. Sexton,CHA,TOR,PG/SG,TOR@CHA,5400.0,$5400,28.79,7.38,5.33,26.0,29.16,1.01,1.01,54.16,18.49,2.24,4.67,0.82,0.21,2.51,111.8,0.98,0.97,289.0,0.23
125339-171780,Jaden Ivey,jaden ivey,J. Ivey,DET,CHI,PG/SG,CHI@DET,4000.0,$4000,28.76,7.6,7.19,28.0,32.32,1.01,1.01,60.56,16.13,3.81,3.22,1.03,0.56,1.54,117.6,1.02,1.03,84.0,0.22
125339-171765,Moussa Diabate,moussa diabate,M. Diabate,CHA,TOR,C,TOR@CHA,5900.0,$5900,28.6,7.66,4.85,26.0,27.97,1.01,1.01,53.57,10.37,9.32,1.59,0.87,0.98,0.9,111.8,0.98,0.97,477.0,0.19
125339-172098,Julian Champagnie,julian champagnie,J. Champagnie,SAS,SA,SG/SF,LAL@SA,5400.0,$5400,27.95,7.42,5.18,32.0,29.07,1.03,1.03,69.87,13.4,6.94,1.72,1.12,0.47,1.11,,1.0,1.0,428.0,0.2
125339-157811,Neemias Queta,neemias queta,N. Queta,BOS,DEN,C,DEN@BOS,5400.0,$5400,27.76,7.79,5.14,25.0,28.8,1.01,1.01,50.64,10.16,8.15,1.49,0.81,1.33,0.85,115.4,1.0,1.01,759.0,0.19
125339-158137,Jock Landale,jock landale,J. Landale,MEM,PHX,C,PHO@MEM,4800.0,$4800,27.74,7.0,5.78,23.0,30.15,1.02,1.02,49.92,14.89,6.67,1.9,0.52,0.52,1.12,113.7,0.99,0.99,453.0,0.22
125339-203812,Daniss Jenkins,daniss jenkins,D. Jenkins,DET,CHI,PG,CHI@DET,4600.0,$4600,27.25,7.53,5.92,24.5,30.52,1.01,1.01,53.17,14.56,2.51,4.97,1.26,0.18,2.07,117.6,1.02,1.03,161.0,0.22
125339-84704,Kevin Huerter,kevin huerter,K. Huerter,CHI,DET,SG/SF,CHI@DET,5800.0,$5800,26.86,7.46,4.63,27.0,27.62,1.01,1.01,59.67,13.93,4.45,2.72,0.93,0.7,1.4,110.2,0.97,0.95,205.0,0.22
125339-110322,Jordan Poole,jordan poole,J. Poole,NOP,ATL,PG/SG,NO@ATL,5800.0,$5800,26.82,7.15,4.62,26.0,27.56,1.08,1.08,60.66,17.24,2.08,3.58,0.68,0.49,1.79,115.6,1.01,1.01,166.0,0.22
125339-158855,Justin Champagnie,justin champagnie,J. Champagnie,WAS,PHI,SF/PF,WAS@PHI,5000.0,$5000,26.76,7.56,5.35,24.0,29.38,1.03,1.03,52.35,9.88,8.14,1.24,1.05,0.9,0.63,113.3,0.99,0.98,242.0,0.21
125339-110344,Ja Morant,ja morant,J. Morant,MEM,PHX,PG,PHO@MEM,7800.0,$7800,26.69,7.15,3.42,20.0,24.08,1.02,1.02,45.52,15.25,2.32,5.78,0.73,0.14,2.6,113.7,0.99,0.99,,0.22
125339-157826,Quentin Grimes,quentin grimes,Q. Grimes,PHI,WSH,SG/SF,WAS@PHI,5900.0,$5900,26.66,7.48,4.52,31.0,27.46,1.03,1.03,67.03,13.29,3.95,3.92,1.02,0.53,1.9,,1.0,1.0,817.0,0.2
125339-110347,Keldon Johnson,keldon johnson,K. Johnson,SAS,SA,SF/PF,LAL@SA,5300.0,$5300,26.2,6.63,4.94,24.0,28.45,1.03,1.03,52.44,14.31,6.91,1.38,0.73,0.11,0.98,,1.0,1.0,432.0,0.21
125339-188431,Noah Clowney,noah clowney,N. Clowney,BKN,ORL,PF,ORL@BKN,5300.0,$5300,26.18,7.41,4.94,30.0,28.64,0.97,0.97,58.86,15.67,3.98,1.98,0.77,0.82,1.99,112.8,0.99,0.98,834.0,0.22
125339-41594,Aaron Gordon,aaron gordon,A. Gordon,DEN,BOS,PF,DEN@BOS,6200.0,$6200,26.12,6.66,4.21,24.0,26.42,1.01,1.01,51.09,16.89,5.31,1.2,0.62,0.2,1.39,114.2,1.0,0.99,56.0,0.22
125339-228131,Jeremiah Fears,jeremiah fears,J. Fears,NOP,ATL,PG/SG,NO@ATL,5500.0,$5500,26.12,7.49,4.75,26.0,28.01,1.08,1.08,59.66,15.05,3.75,3.11,1.25,0.24,2.58,115.6,1.01,1.01,304.0,0.23
125339-15860,Draymond Green,draymond green,D. Green,GSW,GS,PF/C,MIL@GS,5700.0,$5700,26.02,7.8,4.57,27.0,27.53,1.0,1.0,57.2,8.56,5.98,5.48,0.92,0.75,2.94,,1.0,1.0,771.0,0.2
125339-203776,Jaylen Wells,jaylen wells,J. Wells,MEM,PHX,SG/SF,PHO@MEM,5000.0,$5000,25.97,6.99,5.19,31.5,29.33,1.02,1.02,68.05,15.41,3.89,2.35,1.13,0.09,1.28,113.7,0.99,0.99,429.0,0.21
125339-157846,Sandro Mamukelashvili,sandro mamukelashvili,S. Mamukelashvili,TOR,CHA,C,TOR@CHA,5500.0,$5500,25.74,7.15,4.68,24.0,27.79,1.01,1.01,50.98,12.07,5.81,2.14,0.77,0.71,0.96,117.7,1.02,1.03,730.0,0.21
125339-228122,Collin Murray-Boyles,collin murray boyles,C. Murray-Boyles,TOR,CHA,PF/C,TOR@CHA,5600.0,$5600,25.51,7.54,4.56,27.0,27.57,1.01,1.01,55.97,10.65,6.13,2.28,1.08,0.79,1.53,117.7,1.02,1.03,504.0,0.2
125339-58253,Myles Turner,myles turner,M. Turner,MIL,GS,C,MIL@GS,5600.0,$5600,25.34,7.69,4.52,28.0,27.54,1.0,1.0,58.19,10.97,5.22,1.44,0.69,1.59,0.9,,1.0,1.0,938.0,0.2
125339-41083,Luke Kornet,luke kornet,L. Kornet,SAS,SA,C,LAL@SA,5400.0,$5400,25.27,7.24,4.68,24.0,27.85,1.03,1.03,53.03,9.69,6.49,2.13,0.29,1.41,0.51,,1.0,1.0,239.0,0.2
125339-42156,Bobby Portis,bobby portis,B. Portis,MIL,GS,PF/C,MIL@GS,5500.0,$5500,25.11,6.55,4.57,25.0,27.58,1.0,1.0,51.32,13.54,6.91,1.39,0.62,0.16,1.16,,1.0,1.0,674.0,0.22
125339-203713,Reed Sheppard,reed sheppard,R. Sheppard,HOU,POR,PG/SG,HOU@POR,5300.0,$5300,24.98,7.55,4.71,24.0,27.98,0.97,0.97,48.46,12.4,2.72,3.21,1.4,0.56,1.35,116.2,1.01,1.02,321.0,0.22
125339-66236,John Collins,john collins,J. Collins,LAC,NY,PF/C,LAC@NY,5900.0,$5900,24.83,7.32,4.21,29.0,26.68,0.98,0.98,57.38,13.45,5.07,0.88,0.93,0.86,1.42,,1.0,1.0,752.0,0.2
125339-228109,Egor Demin,egor demin,E. Demin,BKN,ORL,PG/SG,ORL@BKN,5200.0,$5200,24.64,7.22,4.74,28.0,28.24,0.97,0.97,55.54,12.4,3.51,4.02,1.01,0.35,2.09,112.8,0.99,0.98,684.0,0.21
125339-228118,Tre Johnson,tre johnson,T. Johnson,WAS,PHI,PG/SG,WAS@PHI,4900.0,$4900,24.36,6.9,4.97,28.0,28.88,1.03,1.03,62.93,15.31,3.44,2.08,0.76,0.42,1.76,113.3,0.99,0.98,316.0,0.22
125339-23169,Steven Adams,steven adams,S. Adams,HOU,POR,C,HOU@POR,4600.0,$4600,24.25,7.06,5.27,25.5,29.52,0.97,0.97,50.9,7.4,9.44,1.78,0.77,0.61,1.31,116.2,1.01,1.02,268.0,0.21
125339-160174,Jordan Goodwin,jordan goodwin,J. Goodwin,PHX,MEM,SG,PHO@MEM,4600.0,$4600,24.18,7.32,5.26,24.0,29.45,1.02,1.02,50.5,10.32,5.22,2.42,1.6,0.16,1.3,114.0,1.0,0.99,556.0,0.21
125339-157839,Day'Ron Sharpe,day ron sharpe,D. Sharpe,BKN,ORL,C,ORL@BKN,5500.0,$5500,24.08,7.36,4.38,20.0,26.96,0.97,0.97,39.56,8.92,6.44,2.78,1.13,0.54,1.74,112.8,0.99,0.98,412.0,0.21
125339-203721,Bub Carrington,bub carrington,B. Carrington,WAS,PHI,PG,WAS@PHI,4400.0,$4400,23.98,6.87,5.45,30.0,30.07,1.03,1.03,66.71,10.77,4.71,5.15,0.54,0.26,2.58,113.3,0.99,0.98,401.0,0.21
125339-228126,Dylan Harper,dylan harper,D. Harper,SAS,SA,PG/SG,LAL@SA,5500.0,$5500,23.71,7.03,4.31,22.0,26.87,1.03,1.03,47.65,11.67,3.35,3.75,1.11,0.21,1.54,,1.0,1.0,262.0,0.23
